2025-06-20T16:12:05.597315,Gas,OFF,0,XXX
2025-06-20T16:12:05.597315,Gas,OFF,0,XXX
2025-06-20T16:12:05.597315,Gas,OFF,0,XXX
2025-06-20T16:12:05.597315,Gas,OFF,0,XXX
2025-06-20T16:12:05.597315,Gas,OFF,0,XXX
2025-06-20T16:12:05.597315,Gas,OFF,0,XXX
2025-06-20T16:12:05.597315,Gas,OFF,0,XXX
2025-06-20T16:12:05.597315,Gas,OFF,0,XXX
2025-06-20T16:12:05.597315,Gas,OFF,0,XXX
2025-06-20T16:12:05.597315,Gas,OFF,0,XXX
2025-06-20T16:12:05.597315,Gas,OFF,0,XXX
2025-06-20T16:12:05.597315,Gas,OFF,0,XXX
2025-06-20T16:12:05.597315,Gas,OFF,0,XXX
2025-06-20T16:12:05.597315,Gas,OFF,0,XXX
2025-06-20T16:12:05.597315,Gas,OFF,0,XXX
2025-06-20T16:12:05.597315,Gas,OFF,0,XXX
2025-06-20T16:12:05.597315,Gas,OFF,0,XXX
2025-06-20T16:12:05.597315,Gas,OFF,0,XXX
2025-06-20T16:12:05.597315,Gas,OFF,0,XXX
2025-06-20T16:12:05.597315,Gas,OFF,0,XXX
2025-06-20T16:12:05.597315,Gas,OFF,0,XXX
2025-06-20T16:12:05.597315,Gas,OFF,0,XXX
2025-06-20T16:12:05.597315,Gas,OFF,0,XXX
2025-06-20T16:12:05.597315,Gas,OFF,0,XXX
2025-06-20T16:12:05.597315,Gas,OFF,0,XXX
2025-06-20T16:12:05.597315,Gas,OFF,0,XXX
2025-06-20T16:12:05.597315,Gas,OFF,0,XXX
2025-06-20T16:12:05.597315,Gas,OFF,0,XXX
2025-06-20T16:12:05.597315,Gas,OFF,0,XXX
2025-06-20T16:12:05.597315,Gas,OFF,0,XXX
2025-06-20T16:12:05.597315,Gas,OFF,0,XXX
2025-06-20T16:12:05.597315,Gas,OFF,0,XXX
2025-06-20T16:12:05.597315,Gas,OFF,0,XXX
2025-06-20T16:12:05.597315,Gas,OFF,0,XXX
2025-06-20T16:12:05.597315,Gas,OFF,0,XXX
2025-06-20T16:12:05.597315,Gas,OFF,0,XXX
2025-06-20T16:12:05.597315,Gas,OFF,0,XXX
2025-06-20T16:12:05.597315,Gas,OFF,0,XXX
2025-06-20T16:12:05.597315,Gas,OFF,0,XXX
2025-06-20T16:12:05.597315,Gas,OFF,0,XXX
2025-06-20T16:12:05.597315,Gas,OFF,0,XXX
2025-06-20T16:12:05.597315,Gas,OFF,0,XXX
2025-06-20T16:12:05.597315,Gas,OFF,0,XXX
2025-06-20T16:12:05.597315,Gas,OFF,0,XXX
2025-06-20T16:12:05.597315,Gas,OFF,0,XXX
2025-06-20T16:12:05.597315,Gas,OFF,0,XXX
2025-06-20T16:12:05.597315,Gas,OFF,0,XXX
2025-06-20T16:12:05.597315,Gas,OFF,0,XXX
2025-06-20T16:12:05.597315,Gas,OFF,0,XXX
2025-06-20T16:12:05.597315,Gas,OFF,0,XXX
2025-06-20T16:12:05.597315,Gas,OFF,0,XXX
2025-06-20T16:12:05.597315,Gas,OFF,0,XXX
2025-06-20T16:12:05.597315,Gas,OFF,0,XXX
2025-06-20T16:12:05.597315,Gas,OFF,0,XXX
2025-06-20T16:12:05.597315,Gas,OFF,0,XXX
2025-06-20T16:12:05.597315,Gas,OFF,0,XXX
2025-06-20T16:12:05.597315,Gas,OFF,0,XXX
2025-06-20T16:12:05.597315,Gas,OFF,0,XXX
2025-06-20T16:12:05.597315,Gas,OFF,0,XXX
2025-06-20T16:12:05.597315,Gas,OFF,0,XXX
2025-06-20T16:12:05.597315,Gas,OFF,0,XXX
2025-06-20T16:12:05.597315,Gas,OFF,0,XXX
2025-06-20T16:12:05.597315,Gas,OFF,0,XXX
2025-06-20T16:12:05.597315,Gas,OFF,0,XXX
2025-06-20T16:12:05.597315,Gas,OFF,0,XXX
2025-06-20T16:12:05.597315,Gas,OFF,0,XXX
2025-06-20T16:12:05.597315,Gas,OFF,0,XXX
2025-06-20T16:12:05.597315,Gas,OFF,0,XXX
2025-06-20T16:12:05.597315,Gas,OFF,0,XXX
2025-06-20T16:12:05.597315,Gas,OFF,0,XXX
2025-06-20T16:12:05.597315,Gas,OFF,0,XXX
2025-06-20T16:12:05.597315,Gas,OFF,0,XXX
2025-06-20T16:12:05.597315,Gas,OFF,0,XXX
2025-06-20T16:12:05.597315,Gas,OFF,0,XXX
2025-06-20T16:12:05.597315,Gas,OFF,0,XXX
2025-06-20T16:12:05.597315,Gas,OFF,0,XXX
2025-06-20T16:12:05.597315,Gas,OFF,0,XXX
2025-06-20T16:12:05.597315,Gas,OFF,0,XXX
2025-06-20T16:12:05.597315,Gas,OFF,0,XXX
2025-06-20T16:12:05.597315,Gas,OFF,0,XXX
2025-06-20T16:12:05.597315,Gas,OFF,0,XXX
2025-06-20T16:12:05.597315,Gas,OFF,0,XXX
2025-06-20T16:12:05.597315,Gas,OFF,0,XXX
2025-06-20T16:12:05.597315,Gas,OFF,0,XXX
2025-06-20T16:12:05.597315,Gas,OFF,0,XXX
2025-06-20T16:12:05.597315,Gas,OFF,0,XXX
2025-06-20T16:12:05.597315,Gas,OFF,0,XXX
2025-06-20T16:12:05.597315,Gas,OFF,0,XXX
2025-06-20T16:12:05.597315,Gas,OFF,0,XXX
2025-06-20T16:12:05.597315,Gas,OFF,0,XXX
2025-06-20T16:12:05.597315,Gas,OFF,0,XXX
2025-06-20T16:12:05.597315,Gas,OFF,0,XXX
2025-06-20T16:12:05.597315,Gas,OFF,0,XXX
2025-06-20T16:12:05.597315,Gas,OFF,0,XXX
2025-06-20T16:12:05.597315,Gas,OFF,0,XXX
2025-06-20T16:12:05.597315,Gas,OFF,0,XXX
2025-06-20T16:12:05.597315,Gas,OFF,0,XXX
2025-06-20T16:12:05.597315,Gas,OFF,0,XXX
2025-06-20T16:12:05.597315,Gas,OFF,0,XXX
2025-06-20T16:12:05.597315,Gas,OFF,0,XXX
2025-06-20T16:12:05.597315,Gas,OFF,0,XXX
2025-06-20T16:12:05.597315,Gas,OFF,0,XXX
2025-06-20T16:12:05.597315,Gas,OFF,0,XXX
2025-06-20T16:12:05.597315,Gas,OFF,0,XXX
2025-06-20T16:12:05.597315,Gas,OFF,0,XXX
2025-06-20T16:12:05.597315,Gas,OFF,0,XXX
2025-06-20T16:12:05.597315,Gas,OFF,0,XXX
2025-06-20T16:12:05.597315,Gas,OFF,0,XXX
2025-06-20T16:12:05.597315,Gas,OFF,0,XXX
2025-06-20T16:12:05.597315,Gas,OFF,0,XXX
2025-06-20T16:12:05.597315,Gas,OFF,0,XXX
2025-06-20T16:12:05.597315,Gas,OFF,0,XXX
2025-06-20T16:12:05.597315,Gas,OFF,0,XXX
2025-06-20T16:12:05.597315,Gas,OFF,0,XXX
2025-06-20T16:12:05.597315,Gas,OFF,0,XXX
2025-06-20T16:12:05.597315,Gas,OFF,0,XXX
2025-06-20T16:12:05.597315,Gas,OFF,0,XXX
2025-06-20T16:12:05.597315,Gas,OFF,0,XXX
2025-06-20T16:12:05.597315,Gas,OFF,0,XXX
2025-06-20T16:12:05.597315,Gas,OFF,0,XXX
2025-06-20T16:12:05.597315,Gas,OFF,0,XXX
2025-06-20T16:12:05.597315,Gas,OFF,0,XXX
2025-06-20T16:12:05.597315,Gas,OFF,0,XXX
2025-06-20T16:12:05.597315,Gas,OFF,0,XXX
2025-06-20T16:12:05.597315,Gas,OFF,0,XXX
2025-06-20T16:12:05.597315,Gas,OFF,0,XXX
2025-06-20T16:12:05.597315,Gas,OFF,0,XXX
2025-06-20T16:12:05.597315,Gas,OFF,0,XXX
2025-06-20T16:12:05.597315,Gas,OFF,0,XXX
2025-06-20T16:12:05.597315,Gas,OFF,0,XXX
2025-06-20T16:12:05.597315,Gas,OFF,0,XXX
2025-06-20T16:12:05.597315,Gas,OFF,0,XXX
2025-06-20T16:12:05.597315,Gas,OFF,0,XXX
2025-06-20T16:12:05.597315,Gas,OFF,0,XXX
2025-06-20T16:12:05.597315,Gas,OFF,0,XXX
2025-06-20T16:12:05.597315,Gas,OFF,0,XXX
2025-06-20T16:12:05.597315,Gas,OFF,0,XXX
2025-06-20T16:12:05.597315,Gas,OFF,0,XXX
2025-06-20T16:12:05.597315,Gas,OFF,0,XXX
2025-06-20T16:12:05.597315,Gas,OFF,0,XXX
2025-06-20T16:12:05.597315,Gas,OFF,0,XXX
2025-06-20T16:12:05.597315,Gas,OFF,0,XXX
2025-06-20T16:12:05.597315,Gas,OFF,0,XXX
2025-06-20T16:12:05.597315,Gas,OFF,0,XXX
2025-06-20T16:12:05.597315,Gas,OFF,0,XXX
2025-06-20T16:12:05.597315,Gas,OFF,0,XXX
2025-06-20T16:12:05.597315,Gas,OFF,0,XXX
2025-06-20T16:12:05.597315,Gas,OFF,0,XXX
2025-06-20T16:12:05.597315,Gas,OFF,0,XXX
2025-06-20T16:12:05.597315,Gas,OFF,0,XXX
2025-06-20T16:12:05.597315,Gas,OFF,0,XXX
2025-06-20T16:12:05.597315,Gas,OFF,0,XXX
2025-06-20T16:12:05.597315,Gas,OFF,0,XXX
2025-06-20T16:12:05.597315,Gas,OFF,0,XXX
2025-06-20T16:12:05.597315,Gas,OFF,0,XXX
2025-06-20T16:12:05.597315,Gas,OFF,0,XXX
2025-06-20T16:12:05.597315,Gas,OFF,0,XXX
2025-06-20T16:12:05.597315,Gas,OFF,0,XXX
2025-06-20T16:12:05.597315,Gas,OFF,0,XXX
2025-06-20T16:12:05.597315,Gas,OFF,0,XXX
2025-06-20T16:12:05.597315,Gas,OFF,0,XXX
2025-06-20T16:12:05.597315,Gas,OFF,0,XXX
2025-06-20T16:12:05.597315,Gas,OFF,0,XXX
2025-06-20T16:12:05.597315,Gas,OFF,0,XXX
2025-06-20T16:12:05.597315,Gas,OFF,0,XXX
2025-06-20T16:12:05.597315,Gas,OFF,0,XXX
2025-06-20T16:12:05.597315,Gas,OFF,0,XXX
2025-06-20T16:12:05.597315,Gas,OFF,0,XXX
2025-06-20T16:12:05.597315,Gas,OFF,0,XXX
2025-06-20T16:12:05.597315,Gas,OFF,0,XXX
2025-06-20T16:12:05.597315,Gas,OFF,0,XXX
2025-06-20T16:12:05.597315,Gas,OFF,0,XXX
2025-06-20T16:12:05.597315,Gas,OFF,0,XXX
2025-06-20T16:12:05.597315,Gas,OFF,0,XXX
2025-06-20T16:12:05.597315,Gas,OFF,0,XXX
2025-06-20T16:12:05.597315,Gas,OFF,0,XXX
2025-06-20T16:12:05.597315,Gas,OFF,0,XXX
2025-06-20T16:12:05.597315,Gas,OFF,0,XXX
2025-06-20T16:12:05.597315,Gas,OFF,0,XXX
2025-06-20T16:12:05.597315,Gas,OFF,0,XXX
2025-06-20T16:12:05.597315,Gas,OFF,0,XXX
2025-06-20T16:12:05.597315,Gas,OFF,0,XXX
2025-06-20T16:12:05.597315,Gas,OFF,0,XXX
2025-06-20T16:12:05.597315,Gas,OFF,0,XXX
2025-06-20T16:12:05.597315,Gas,OFF,0,XXX
2025-06-20T16:12:05.597315,Gas,OFF,0,XXX
2025-06-20T16:12:05.597315,Gas,OFF,0,XXX
2025-06-20T16:12:05.597315,Gas,OFF,0,XXX
2025-06-20T16:12:05.597315,Gas,OFF,0,XXX
2025-06-20T16:12:05.597315,Gas,OFF,0,XXX
2025-06-20T16:12:05.597315,Gas,OFF,0,XXX
2025-06-20T16:12:05.597315,Gas,OFF,0,XXX
2025-06-20T16:12:05.597315,Gas,OFF,0,XXX
2025-06-20T16:12:05.597315,Gas,OFF,0,XXX
2025-06-20T16:12:05.597315,Gas,OFF,0,XXX
2025-06-20T16:12:05.597315,Gas,OFF,0,XXX
2025-06-20T16:12:05.597315,Gas,OFF,0,XXX
2025-06-20T16:12:05.597315,Gas,OFF,0,XXX
2025-06-20T16:12:05.597315,Gas,OFF,0,XXX
2025-06-20T16:12:05.597315,Gas,OFF,0,XXX
2025-06-20T16:12:05.597315,Gas,OFF,0,XXX
2025-06-20T16:12:05.597315,Gas,OFF,0,XXX
2025-06-20T16:12:05.597315,Gas,OFF,0,XXX
2025-06-20T16:12:05.597315,Gas,OFF,0,XXX
2025-06-20T16:12:05.597315,Gas,OFF,0,XXX
2025-06-20T16:12:05.597315,Gas,OFF,0,XXX
2025-06-20T16:12:05.597315,Gas,OFF,0,XXX
2025-06-20T16:12:05.597315,Gas,OFF,0,XXX
2025-06-20T16:12:05.597315,Gas,OFF,0,XXX
2025-06-20T16:12:05.597315,Gas,OFF,0,XXX
2025-06-20T16:12:05.597315,Gas,OFF,0,XXX
2025-06-20T16:12:05.597315,Gas,OFF,0,XXX
2025-06-20T16:12:05.597315,Gas,OFF,0,XXX
2025-06-20T16:12:05.597315,Gas,OFF,0,XXX
2025-06-20T16:12:05.597315,Gas,OFF,0,XXX
2025-06-20T16:12:05.597315,Gas,OFF,0,XXX
2025-06-20T16:12:05.597315,Gas,OFF,0,XXX
2025-06-20T16:12:05.597315,Gas,OFF,0,XXX
2025-06-20T16:12:05.597315,Gas,OFF,0,XXX
2025-06-20T16:12:05.597315,Gas,OFF,0,XXX
2025-06-20T16:12:05.597315,Gas,OFF,0,XXX
2025-06-20T16:12:05.597315,Gas,OFF,0,XXX
2025-06-20T16:12:05.597315,Gas,OFF,0,XXX
2025-06-20T16:12:05.597315,Gas,OFF,0,XXX
2025-06-20T16:12:05.597315,Gas,OFF,0,XXX
2025-06-20T16:12:05.597315,Gas,OFF,0,XXX
2025-06-20T16:12:05.597315,Gas,OFF,0,XXX
2025-06-20T16:12:05.597315,Gas,OFF,0,XXX
2025-06-20T16:12:05.597315,Gas,OFF,0,XXX
2025-06-20T16:12:05.597315,Gas,OFF,0,XXX
2025-06-20T16:12:05.597315,Gas,OFF,0,XXX
2025-06-20T16:12:05.597315,Gas,OFF,0,XXX
2025-06-20T16:12:05.597315,Gas,OFF,0,XXX
2025-06-20T16:12:05.597315,Gas,OFF,0,XXX
2025-06-20T16:12:05.597315,Gas,OFF,0,XXX
2025-06-20T16:12:05.597315,Gas,OFF,0,XXX
2025-06-20T16:12:05.597315,Gas,OFF,0,XXX
2025-06-20T16:12:05.597315,Gas,OFF,0,XXX
2025-06-20T16:12:05.597315,Gas,OFF,0,XXX
2025-06-20T16:12:05.597315,Gas,OFF,0,XXX
2025-06-20T16:12:05.597315,Gas,OFF,0,XXX
2025-06-20T16:12:05.597315,Gas,OFF,0,XXX
2025-06-20T16:12:05.597315,Gas,OFF,0,XXX
2025-06-20T16:12:05.597315,Gas,OFF,0,XXX
2025-06-20T16:12:05.597315,Gas,OFF,0,XXX
2025-06-20T16:12:05.597315,Gas,OFF,0,XXX
2025-06-20T16:12:05.597315,Gas,OFF,0,XXX
2025-06-20T16:12:05.597315,Gas,OFF,0,XXX
2025-06-20T16:12:05.597315,Gas,OFF,0,XXX
2025-06-20T16:12:05.597315,Gas,OFF,0,XXX
2025-06-20T16:12:05.597315,Gas,OFF,0,XXX
2025-06-20T16:12:05.597315,Gas,OFF,0,XXX
2025-06-20T16:12:05.597315,Gas,OFF,0,XXX
2025-06-20T16:12:05.597315,Gas,OFF,0,XXX
2025-06-20T16:12:05.597315,Gas,OFF,0,XXX
2025-06-20T16:12:05.597315,Gas,OFF,0,XXX
2025-06-20T16:12:05.597315,Gas,OFF,0,XXX
2025-06-20T16:12:05.597315,Gas,OFF,0,XXX
2025-06-20T16:12:05.597315,Gas,OFF,0,XXX
2025-06-20T16:12:05.597315,Gas,OFF,0,XXX
2025-06-20T16:12:05.597315,Gas,OFF,0,XXX
2025-06-20T16:12:05.597315,Gas,OFF,0,XXX
2025-06-20T16:12:05.597315,Gas,OFF,0,XXX
2025-06-20T16:12:05.597315,Gas,OFF,0,XXX
2025-06-20T16:12:05.597315,Gas,OFF,0,XXX
2025-06-20T16:12:05.597315,Gas,OFF,0,XXX
2025-06-20T16:12:05.597315,Gas,OFF,0,XXX
2025-06-20T16:12:05.597315,Gas,OFF,0,XXX
2025-06-20T16:12:05.597315,Gas,OFF,0,XXX
2025-06-20T16:12:05.597315,Gas,OFF,0,XXX
2025-06-20T16:12:05.597315,Gas,OFF,0,XXX
2025-06-20T16:12:05.597315,Gas,OFF,0,XXX
2025-06-20T16:12:05.597315,Gas,OFF,0,XXX
2025-06-20T16:12:05.597315,Gas,OFF,0,XXX
2025-06-20T16:12:05.597315,Gas,OFF,0,XXX
2025-06-20T16:12:05.597315,Gas,OFF,0,XXX
2025-06-20T16:12:05.597315,Gas,OFF,0,XXX
2025-06-20T16:12:05.597315,Gas,OFF,0,XXX
2025-06-20T16:12:05.597315,Gas,OFF,0,XXX
2025-06-20T16:12:05.597315,Gas,OFF,0,XXX
2025-06-20T16:12:05.597315,Gas,OFF,0,XXX
2025-06-20T16:12:05.597315,Gas,OFF,0,XXX
2025-06-20T16:12:05.597315,Gas,OFF,0,XXX
2025-06-20T16:12:05.597315,Gas,OFF,0,XXX
2025-06-20T16:12:05.597315,Gas,OFF,0,XXX
2025-06-20T16:12:05.597315,Gas,OFF,0,XXX
2025-06-20T16:12:05.597315,Gas,OFF,0,XXX
2025-06-20T16:12:05.597315,Gas,OFF,0,XXX
2025-06-20T16:12:05.597315,Gas,OFF,0,XXX
2025-06-20T16:12:05.597315,Gas,OFF,0,XXX
2025-06-20T16:12:05.597315,Gas,OFF,0,XXX
2025-06-20T16:12:05.597315,Gas,OFF,0,XXX
2025-06-20T16:12:05.597315,Gas,OFF,0,XXX
2025-06-20T16:12:05.597315,Gas,OFF,0,XXX
2025-06-20T16:12:05.597315,Gas,OFF,0,XXX
2025-06-20T16:12:05.597315,Gas,OFF,0,XXX
2025-06-20T16:12:05.597315,Gas,OFF,0,XXX
2025-06-20T16:12:05.597315,Gas,OFF,0,XXX
2025-06-20T16:12:05.597315,Gas,OFF,0,XXX
2025-06-20T16:12:05.597315,Gas,OFF,0,XXX
2025-06-20T16:12:05.597315,Gas,OFF,0,XXX
2025-06-20T16:12:05.597315,Gas,OFF,0,XXX
2025-06-20T16:12:05.597315,Gas,OFF,0,XXX
2025-06-20T16:12:05.597315,Gas,OFF,0,XXX
2025-06-20T16:12:05.597315,Gas,OFF,0,XXX
2025-06-20T16:12:05.597315,Gas,OFF,0,XXX
2025-06-20T16:12:05.597315,Gas,OFF,0,XXX
2025-06-20T16:12:05.597315,Gas,OFF,0,XXX
2025-06-20T16:12:05.597315,Gas,OFF,0,XXX
2025-06-20T16:12:05.597315,Gas,OFF,0,XXX
2025-06-20T16:12:05.597315,Gas,OFF,0,XXX
2025-06-20T16:12:05.597315,Gas,OFF,0,XXX
2025-06-20T16:12:05.597315,Gas,OFF,0,XXX
2025-06-20T16:12:05.597315,Gas,OFF,0,XXX
2025-06-20T16:12:05.597315,Gas,OFF,0,XXX
2025-06-20T16:12:05.597315,Gas,OFF,0,XXX
2025-06-20T16:12:05.597315,Gas,OFF,0,XXX
2025-06-20T16:12:05.597315,Gas,OFF,0,XXX
2025-06-20T16:12:05.597315,Form,ON,0,XVX






































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































